Designator,Footprint,Quantity,Value,LCSC Part #
BZ2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,SMT-0540-S-R,
"C1, C2, C4",0603,3,4.7u,
C12,0603,1,2.2uF,
C13,0603,1,100nF,
"C20, C22",0402,2,100nf,
C21,0402,1,4.7uf,
"C25, C26, C27, C28, C29, C30",0603,6,1u,
C3,0603,1,1n,
"D1, D2",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B-2020,
"FB1, FB2",0805,2,FerriteBead_Small,
IC1,SON50P200X200X80-7N-D,1,LTC4065EDC,
IC2,SON50P300X300X80-9N-D,1,ADM7171ACPZ-3.3-R7,
IC5,QFN50P300X300X80-17N,1,MAX98357AETE+T,
J1,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
J2,AMPHENOL_10118194-0001LF,1,10118194-0001LF,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
J5_2,PinHeader_1x15_P1.00mm_Vertical,1,Conn_01x15,
J5,TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,1,Conn_01x24,
LED1,0603,1,Red,
MK1,MIC_INMP441ACEZ-R7,1,INMP441ACEZ-R7,
R1,0603,1,510,
"R10, R9",0402,2,10k,
"R11, R6",0603,2,NC,
R12,0603,1,0R,
R2,0603,1,2K,
R3,0603,1,100K,
"R4, R5",0603,2,10k,
SW1,slide switch spdt,1,K3-1280S-F1 ,
SW2,Tactile 3x4x2mm TS-A010,1,RST,
SW3,Tactile 3x4x2mm TS-A010,1,BOOT,
U2,SOT-23-5,1,AP2127K-2.8,
U3,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,
U4,SOT-23-5,1,AP2127K-1.8,
